id,Project,value
spreadsheet,Systems,67.10000000000001
start,Systems,17.0333333
start,NA,158.6333333
start / momentum,Motivated,144.2166666
start#,NA,4.45
stats,Absorb,100.7166666
stats,Working,90.8
study,School,42.2166667
sudeep,Motivated,64.7166667
sudeep and 324,NA,19.2
sudeep only,NA,82.55
surya,Motivated,18.7
sysrems,Systems,7.7333333
System,Motivated,9.85
System,School,6.4166667
test,NA,0.1333333
Think,NA,0.2166667
thinking,Motivated,155.8
thinking,NA,4.8666667
time sink,NA,58.849999999999994
todo list app,Working,1223.1333331
update omni,Planning,296.15
update omni,Working,22.7833333
vacuum,Chores,5.0166667
videogames,Recreation,384.9333333
Virus,Working,33.6833333
vitamins,Systems,9.1833333
vitamins & catchup,Systems,41.5666667
walk dog,NA,0.1333333
watch lecture 21 354,Working,47.8166667
weekly,Systems,329.5166666
wind down,Systems,13
work,Motivated,42.5833333
work,Systems,5.15
work list,Working,9.5
work must do,Working,26.4166667
work on system - really low pressure to do well,Systems,167.55
Worked down Omni list,Motivated,53.4833333
writing,NA,106.6166667
x5,School,107.30000000000001
YouTube,Recreation,830.7666667
NA,Absorb,139.1666667
NA,Chores,2765.0833329
NA,Planning,141.2166665
NA,Recreation,1362.8
NA,Systems,145.70000009999998
NA,Working,10374.6499998
NA,NA,2608.7166661
