Project,name,size
Working,Working/go learn start,18.183333
Working,Working/gplearn,355.65
Working,Working/help,54.25
Working,Working/HW4: stat324,81.8
Working,Working/hw5?,323.433333
Working,Working/hw6,380.683333
Working,Working/hw8,328.2
Working,Working/hw9 stats,14.233333
Working,Working/info theory,14.8
Working,Working/koya,1085.083333
Working,Working/lec,5
Working,Working/lecture catchup 324,91.45
Working,Working/lectures,157.033333
Working,Working/lost map,418.2
Working,Working/MAST-ML,2017.933333
Working,Working/mastml,21.783333
Working,Working/mastml golearn git,15.9
Working,Working/misc,4796.983333
Working,Working/misc work,1039.183333
Working,Working/NEST,27.75
Working,Working/nn,119.3
Working,Working/organize,2.866667
Working,Working/orient,11.7
Working,Working/p2b,150.133333
Working,Working/p3,316.15
Working,Working/prep sublease,24.483333
Working,Working/projects,33.633333
Working,Working/read aas,20
Working,Working/read/watch,32.65
Working,Working/resume,15.433333
Working,Working/run down list,192.133333
Working,Working/Run down list,0.033333
Working,Working/sahas,227.35
Working,Working/server with cody,307.4
Working,Working/setup gc,5.716667
Working,Working/sign papers,18.466667
Working,Working/stats,90.8
Working,Working/todo list app,1223.133333
Working,Working/update omni,22.783333
Working,Working/Virus,33.683333
Working,Working/watch lecture 21 354,47.816667
Working,Working/work list,9.5
Working,Working/work must do,26.416667
Working,Working/NA,10374.65
NA,NA/?,5.533333
NA,NA/alone,57.516667
NA,NA/call ankur,179
NA,NA/clean,164.416667
NA,NA/cooking,54.7
NA,NA/dishes email,73
NA,NA/distracted work,41.583333
NA,NA/eat and plan,14.833333
NA,NA/es,6.366667
NA,NA/exam,75.833333
NA,NA/ff,8.616667
NA,NA/finish Q12 324 w sudeep,4.1
NA,NA/floor,309.483333
NA,NA/for,5.033333
NA,NA/help,67.633333
NA,NA/help chris,52.75
NA,NA/help eric,90
NA,NA/huge r,72.15
NA,NA/ian,30.2
NA,NA/icpc,16.416667
NA,NA/intentional?,226.716667
NA,NA/interview prep,26.083333
NA,NA/journal,18.966667
NA,NA/lazy / recreation,0.166667
NA,NA/log,0.233333
NA,NA/meditation / respond,2.333333
NA,NA/misc,80.85
NA,NA/motive,14.433333
NA,NA/move in,13.966667
NA,NA/no work,24.1
NA,NA/not,32.766667
NA,NA/nothing?,6.016667
NA,NA/omni,11.566667
NA,NA/reading,11.55
NA,NA/rearrange,0.1
NA,NA/rest thought,18.2
NA,NA/start,158.633333
NA,NA/start#,4.45
NA,NA/sudeep and 324,19.2
NA,NA/sudeep only,82.55
NA,NA/test,0.133333
NA,NA/Think,0.216667
NA,NA/thinking,4.866667
NA,NA/time sink,58.85
NA,NA/walk dog,0.133333
NA,NA/writing,106.616667
NA,NA/NA,2608.716666
