Project,name,size
Chores,Chores/NA,192.4
Planning,Planning/NA,298.333333
School,School/340,263.633333
School,School/576,387.333333
School,School/639,204.45
School,School/640,487.65
School,School/mastml,199.7
School,School/NA,250.366667
Working,Working/coding test,107.116667
Working,Working/job apps,46.483333
Working,Working/NA,25.016667
NA,NA/distracted things3 possible apis,11.216667
NA,NA/getting moving,33.55
NA,NA/getting moving _ quarters,32.8
NA,NA/NA,129
